epoch,acc,f1_score,iou,loss,lr,precision,recall,val_acc,val_f1_score,val_iou,val_loss,val_precision,val_recall
0,0.7648780941963196,0.39914456009864807,0.16959074139595032,0.5020142793655396,1e-04,0.3380697965621948,0.4901336431503296,0.8305798172950745,1.3827768725604983e-06,0.12874950468540192,0.552078902721405,0.033942557871341705,1.171231360785896e-05
1,0.8602553009986877,0.4996511936187744,0.20991575717926025,0.3978061378002167,1e-04,0.5889696478843689,0.4269343912601471,0.8306211829185486,0.0,0.11153468489646912,0.46680140495300293,0.0,0.0
2,0.8781170845031738,0.5506269335746765,0.23769128322601318,0.3460243344306946,1e-04,0.6841462254524231,0.4505012035369873,0.830699622631073,0.004354884847998619,0.11233656853437424,0.42693892121315,0.5761567950248718,0.001615398214198649
3,0.8840991258621216,0.5874441266059875,0.25815656781196594,0.3171049952507019,1e-04,0.698515772819519,0.49805110692977905,0.8450710773468018,0.451884388923645,0.20580461621284485,0.37219250202178955,0.5755557417869568,0.378251850605011
4,0.8905541300773621,0.616263747215271,0.2763945460319519,0.29631367325782776,1e-04,0.7213656902313232,0.5314995050430298,0.8675889372825623,0.47248491644859314,0.230244979262352,0.3320022225379944,0.7332531809806824,0.35943737626075745
5,0.8965520262718201,0.6413225531578064,0.2999371886253357,0.27775219082832336,1e-04,0.7432094812393188,0.5582205653190613,0.8756483197212219,0.5203111171722412,0.2492693066596985,0.31003937125205994,0.7872897982597351,0.37910234928131104
6,0.9001047015190125,0.6541969776153564,0.31496796011924744,0.2646101415157318,1e-04,0.7608088850975037,0.5663724541664124,0.882621169090271,0.6407427191734314,0.3215242624282837,0.29340237379074097,0.698754608631134,0.5841624140739441
7,0.9056442379951477,0.6796079277992249,0.33684974908828735,0.24925225973129272,1e-04,0.7747832536697388,0.6000459790229797,0.8894152641296387,0.6365841627120972,0.3285878002643585,0.27965354919433594,0.7575066685676575,0.5419467687606812
8,0.9092566967010498,0.6956734657287598,0.3535585105419159,0.23969103395938873,1e-04,0.7842852473258972,0.6200019717216492,0.8855984210968018,0.5884166359901428,0.30134904384613037,0.2853388488292694,0.7879508137702942,0.4643724858760834
9,0.9137985706329346,0.713187575340271,0.37139689922332764,0.22795139253139496,1e-04,0.7967424392700195,0.6444395184516907,0.8887643218040466,0.6495608687400818,0.35202881693840027,0.274211585521698,0.7355779409408569,0.5757511854171753
10,0.9206441640853882,0.7388065457344055,0.39781320095062256,0.2115737348794937,1e-04,0.8205049633979797,0.6710102558135986,0.8917878866195679,0.6210295557975769,0.33174657821655273,0.2687241733074188,0.8057024478912354,0.5016473531723022
11,0.923473596572876,0.7521045804023743,0.41745835542678833,0.20387397706508636,1e-04,0.8240547180175781,0.6913905739784241,0.8798139691352844,0.4955655634403229,0.2715039551258087,0.30621641874313354,0.9127300977706909,0.33222696185112
12,0.9280503988265991,0.769423246383667,0.4336482882499695,0.19404123723506927,1e-04,0.8434177041053772,0.7036991715431213,0.883226752281189,0.658645749092102,0.3826913833618164,0.28240129351615906,0.6861734390258789,0.6251744627952576
13,0.9349026679992676,0.7963213920593262,0.46437737345695496,0.17781434953212738,1e-04,0.8681734800338745,0.7284682393074036,0.8893013000488281,0.6676546931266785,0.39590156078338623,0.27524760365486145,0.718101441860199,0.6144126057624817
14,0.9356008172035217,0.8010378479957581,0.47737327218055725,0.1740351915359497,1e-04,0.8653985261917114,0.7374624013900757,0.8794984221458435,0.6615832448005676,0.39054298400878906,0.29345232248306274,0.6550875902175903,0.6804160475730896
15,0.9431004524230957,0.8240705728530884,0.4986671209335327,0.15727275609970093,1e-05,0.8954482674598694,0.7587395906448364,0.8978862166404724,0.6545140147209167,0.38171735405921936,0.2527902126312256,0.8033255338668823,0.55483478307724
16,0.9473782181739807,0.8431821465492249,0.5185854434967041,0.14922963082790375,1e-05,0.904518187046051,0.7814385890960693,0.8970996141433716,0.6715682148933411,0.4006306529045105,0.2539817690849304,0.7799627184867859,0.5805405974388123
17,0.9492824673652649,0.8504459261894226,0.5276765823364258,0.14607757329940796,1e-05,0.9127537608146667,0.7862618565559387,0.896361231803894,0.6731098890304565,0.39745089411735535,0.25652018189430237,0.7727635502815247,0.5836885571479797
18,0.9499025940895081,0.853335976600647,0.535402774810791,0.14293994009494781,1e-05,0.9053454399108887,0.8002579808235168,0.8966037034988403,0.6551516056060791,0.384209007024765,0.25882354378700256,0.7901028990745544,0.5615856051445007
19,0.9510235786437988,0.8550310730934143,0.5418550968170166,0.14004594087600708,1e-05,0.912106454372406,0.8002203702926636,0.8954397439956665,0.6783639192581177,0.40252411365509033,0.26024937629699707,0.7565342783927917,0.6019002795219421
20,0.9517906904220581,0.8593182563781738,0.5459801554679871,0.1387007236480713,1e-06,0.914032518863678,0.8034211993217468,0.8955529928207397,0.6881433725357056,0.41777464747428894,0.25973784923553467,0.7577570676803589,0.6009984016418457
21,0.9515024423599243,0.8585430979728699,0.545515775680542,0.13922923803329468,1e-06,0.9116573333740234,0.8046181797981262,0.8958876132965088,0.6651236414909363,0.3986271619796753,0.2594849765300751,0.7638498544692993,0.5938989520072937
22,0.9518795013427734,0.8605964183807373,0.5443345308303833,0.13874362409114838,1e-06,0.9136443734169006,0.8046425580978394,0.895673394203186,0.669143795967102,0.4015769362449646,0.2599845826625824,0.7608760595321655,0.5969036221504211
23,0.9512994289398193,0.8570321798324585,0.5440497398376465,0.13936927914619446,1e-06,0.9129379987716675,0.8016104698181152,0.8955209255218506,0.6595255136489868,0.3998788297176361,0.26027825474739075,0.7580838203430176,0.6002713441848755
24,0.9523459076881409,0.8608275651931763,0.5470529198646545,0.1376439332962036,1e-07,0.916734516620636,0.8046994805335999,0.8953974843025208,0.6763781309127808,0.4101603925228119,0.2605277895927429,0.7580119371414185,0.5991217494010925
25,0.9521889686584473,0.8605164885520935,0.5463340282440186,0.13812237977981567,1e-07,0.915043294429779,0.8052629232406616,0.8954792618751526,0.6700190305709839,0.4069553017616272,0.26034119725227356,0.758934736251831,0.5983379483222961
